timestamp,x1_hour,x2_passenger_count,x3_vehicle_count,x4_weather_condition,x5_day_type,occupancy_rate,discount
2025-04-01 19:13:25,19,50,5,2,0,0.2,0.29
2025-04-01 19:18:25,19,64,1,2,0,1.28,-0.034
2025-04-01 19:23:25,19,89,1,2,1,1.78,-0.184
2025-04-01 19:28:25,19,22,1,1,0,0.44,0.218
2025-04-01 19:33:25,19,58,2,2,1,0.58,0.176
2025-04-01 19:38:25,19,50,2,2,1,0.5,0.2
2025-04-01 19:43:25,19,27,2,2,0,0.27,0.269
2025-04-01 19:48:25,19,110,2,1,0,1.1,0.02
2025-04-01 19:53:25,19,108,1,0,0,2.16,-0.298
2025-04-01 19:58:25,19,52,5,1,0,0.21,0.288
2025-04-01 20:03:25,20,30,3,1,0,0.2,0.29
2025-04-01 20:08:25,20,28,5,1,0,0.11,0.316
2025-04-01 20:13:25,20,61,4,0,1,0.3,0.259
2025-04-01 20:18:25,20,69,4,2,0,0.34,0.246
2025-04-01 20:23:25,20,19,4,1,1,0.1,0.322
2025-04-01 20:28:25,20,36,3,0,1,0.24,0.278
2025-04-01 20:33:25,20,67,5,1,1,0.27,0.27
2025-04-01 20:38:25,20,62,1,1,1,1.24,-0.022
2025-04-01 20:43:25,20,19,3,0,0,0.13,0.312
2025-04-01 20:48:25,20,12,5,0,0,0.05,0.336
2025-04-01 20:53:25,20,72,5,1,0,0.29,0.264
2025-04-01 20:58:25,20,103,4,0,1,0.52,0.196
2025-04-01 21:03:25,21,110,3,0,1,0.73,0.13
2025-04-01 21:08:25,21,67,3,1,0,0.45,0.216
2025-04-01 21:13:25,21,94,5,1,0,0.38,0.237
2025-04-01 21:18:25,21,66,1,0,0,1.32,-0.046
2025-04-01 21:23:25,21,62,2,0,0,0.62,0.164
2025-04-01 21:28:25,21,38,1,0,0,0.76,0.122
2025-04-01 21:33:25,21,5,5,2,1,0.02,0.344
2025-04-01 21:38:25,21,67,5,1,0,0.27,0.27
2025-04-01 21:43:25,21,71,4,1,1,0.35,0.243
2025-04-01 21:48:25,21,55,5,1,0,0.22,0.284
2025-04-01 21:53:25,21,33,4,0,0,0.17,0.3
2025-04-01 21:58:25,21,117,4,0,1,0.58,0.174
2025-04-01 22:03:25,22,20,2,1,1,0.2,0.29
2025-04-01 22:08:25,22,89,4,0,1,0.45,0.216
2025-04-01 22:13:25,22,98,5,2,1,0.39,0.232
2025-04-01 22:18:25,22,14,5,1,1,0.06,0.333
2025-04-01 22:23:25,22,99,2,1,0,0.99,0.053
2025-04-01 22:28:25,22,62,1,0,0,1.24,-0.022
2025-04-01 22:33:25,22,8,2,0,1,0.08,0.326
2025-04-01 22:38:25,22,36,3,1,0,0.24,0.278
2025-04-01 22:43:25,22,37,1,0,0,0.74,0.128
2025-04-01 22:48:25,22,47,5,2,0,0.19,0.294
2025-04-01 22:53:25,22,37,2,2,1,0.37,0.239
2025-04-01 22:58:25,22,33,5,2,1,0.13,0.31
2025-04-01 23:03:25,23,6,5,2,1,0.02,0.343
2025-04-01 23:08:25,23,39,1,1,1,0.78,0.116
2025-04-01 23:13:25,23,97,2,1,1,0.97,0.059
2025-04-01 23:18:25,23,38,3,0,0,0.25,0.274
2025-04-01 23:23:25,23,72,2,0,1,0.72,0.134
2025-04-01 23:28:25,23,113,3,0,1,0.75,0.124
2025-04-01 23:33:25,23,40,1,0,0,0.8,0.11
2025-04-01 23:38:25,23,40,2,0,0,0.4,0.23
2025-04-01 23:43:25,23,28,3,0,0,0.19,0.294
2025-04-01 23:48:25,23,116,4,1,0,0.58,0.176
2025-04-01 23:53:25,23,107,5,0,0,0.43,0.222
2025-04-01 23:58:25,23,17,1,2,0,0.34,0.248
2025-04-02 00:03:25,0,34,1,0,1,0.68,0.146
2025-04-02 00:08:25,0,88,1,1,0,1.76,-0.178
2025-04-02 00:13:25,0,63,3,0,1,0.42,0.224
2025-04-02 00:18:25,0,16,5,0,0,0.06,0.331
2025-04-02 00:23:25,0,80,1,2,1,1.6,-0.13
2025-04-02 00:28:25,0,82,4,2,1,0.41,0.227
2025-04-02 00:33:25,0,115,5,0,0,0.46,0.212
2025-04-02 00:38:25,0,16,1,2,0,0.32,0.254
2025-04-02 00:43:25,0,104,5,2,1,0.42,0.225
2025-04-02 00:48:25,0,61,5,0,1,0.24,0.277
2025-04-02 00:53:25,0,62,2,0,0,0.62,0.164
2025-04-02 00:58:25,0,91,5,2,0,0.36,0.241
2025-04-02 01:03:25,1,22,4,0,1,0.11,0.317
2025-04-02 01:08:25,1,62,4,0,0,0.31,0.257
2025-04-02 01:13:25,1,106,5,1,0,0.42,0.223
2025-04-02 01:18:25,1,54,3,1,1,0.36,0.242
2025-04-02 01:23:25,1,9,5,0,1,0.04,0.339
2025-04-02 01:28:25,1,87,5,0,1,0.35,0.246
2025-04-02 01:33:25,1,21,1,0,1,0.42,0.224
2025-04-02 01:38:25,1,40,4,2,0,0.2,0.29
2025-04-02 01:43:25,1,65,4,1,0,0.33,0.253
2025-04-02 01:48:25,1,95,2,1,0,0.95,0.065
2025-04-02 01:53:25,1,43,3,0,0,0.29,0.264
2025-04-02 01:58:25,1,118,4,1,1,0.59,0.173
2025-04-02 02:03:25,2,24,4,0,0,0.12,0.314
2025-04-02 02:08:25,2,109,1,2,0,2.18,-0.304
2025-04-02 02:13:25,2,96,1,2,1,1.92,-0.226
2025-04-02 02:18:25,2,117,1,0,1,2.34,-0.352
2025-04-02 02:23:25,2,10,2,0,1,0.1,0.32
2025-04-02 02:28:25,2,49,5,2,0,0.2,0.291
2025-04-02 02:33:25,2,84,5,2,1,0.34,0.249
2025-04-02 02:38:25,2,105,4,2,0,0.53,0.193
2025-04-02 02:43:25,2,24,1,1,0,0.48,0.206
2025-04-02 02:48:25,2,109,1,1,0,2.18,-0.304
2025-04-02 02:53:25,2,35,1,0,1,0.7,0.14
2025-04-02 02:58:25,2,7,1,2,1,0.14,0.308
2025-04-02 03:03:25,3,78,4,0,1,0.39,0.233
2025-04-02 03:08:25,3,96,4,1,1,0.48,0.206
2025-04-02 03:13:25,3,62,4,1,1,0.31,0.257
2025-04-02 03:18:25,3,96,5,0,1,0.38,0.235
2025-04-02 03:23:25,3,68,3,1,0,0.45,0.214
2025-04-02 03:28:25,3,21,1,0,0,0.42,0.224
2025-04-02 03:33:25,3,88,5,0,0,0.35,0.244
2025-04-02 03:38:25,3,50,3,0,1,0.33,0.25
2025-04-02 03:43:25,3,86,3,0,0,0.57,0.178
2025-04-02 03:48:25,3,29,2,1,1,0.29,0.263
2025-04-02 03:53:25,3,34,2,2,0,0.34,0.248
2025-04-02 03:58:25,3,9,1,1,0,0.18,0.296
2025-04-02 04:03:25,4,22,1,2,0,0.44,0.218
2025-04-02 04:08:25,4,30,1,1,0,0.6,0.17
2025-04-02 04:13:25,4,31,1,0,0,0.62,0.164
2025-04-02 04:18:25,4,102,1,2,0,2.04,-0.262
2025-04-02 04:23:25,4,5,5,2,1,0.02,0.344
2025-04-02 04:28:25,4,96,1,0,0,1.92,-0.226
2025-04-02 04:33:25,4,9,3,0,0,0.06,0.332
2025-04-02 04:38:25,4,105,5,0,1,0.42,0.224
2025-04-02 04:43:25,4,78,3,0,0,0.52,0.194
2025-04-02 04:48:25,4,82,1,1,0,1.64,-0.142
2025-04-02 04:53:25,4,55,5,0,1,0.22,0.284
2025-04-02 04:58:25,4,66,1,0,1,1.32,-0.046
2025-04-02 05:03:25,5,36,2,2,1,0.36,0.242
2025-04-02 05:08:25,5,43,2,1,1,0.43,0.221
2025-04-02 05:13:25,5,58,3,2,1,0.39,0.234
2025-04-02 05:18:25,5,16,1,1,1,0.32,0.254
2025-04-02 05:23:25,5,9,3,0,0,0.06,0.332
2025-04-02 05:28:25,5,116,5,0,1,0.46,0.211
2025-04-02 05:33:25,5,70,3,2,0,0.47,0.21
2025-04-02 05:38:25,5,42,4,1,1,0.21,0.287
2025-04-02 05:43:25,5,54,2,1,1,0.54,0.188
2025-04-02 05:48:25,5,83,3,2,0,0.55,0.184
2025-04-02 05:53:25,5,102,4,0,1,0.51,0.197
2025-04-02 05:58:25,5,101,4,1,0,0.51,0.199
2025-04-02 06:03:25,6,110,3,0,0,0.73,0.13
2025-04-02 06:08:25,6,33,4,1,1,0.17,0.3
2025-04-02 06:13:25,6,21,2,0,1,0.21,0.287
2025-04-02 06:18:25,6,88,5,1,1,0.35,0.244
2025-04-02 06:23:25,6,57,2,0,1,0.57,0.179
2025-04-02 06:28:25,6,111,3,2,0,0.74,0.128
2025-04-02 06:33:25,6,115,1,2,0,2.3,-0.34
2025-04-02 06:38:25,6,84,3,1,1,0.56,0.182
2025-04-02 06:43:25,6,12,4,0,0,0.06,0.332
2025-04-02 06:48:25,6,100,3,2,0,0.67,0.15
2025-04-02 06:53:25,6,36,2,0,1,0.36,0.242
2025-04-02 06:58:25,6,55,3,0,0,0.37,0.24
2025-04-02 07:03:25,7,86,4,1,0,0.43,0.221
2025-04-02 07:08:25,7,26,5,1,0,0.1,0.319
2025-04-02 07:13:25,7,9,1,1,1,0.18,0.296
2025-04-02 07:18:25,7,38,1,1,1,0.76,0.122
2025-04-02 07:23:25,7,49,3,0,1,0.33,0.252
2025-04-02 07:28:25,7,51,1,1,0,1.02,0.044
2025-04-02 07:33:25,7,60,3,2,1,0.4,0.23
2025-04-02 07:38:25,7,65,1,1,1,1.3,-0.04
2025-04-02 07:43:25,7,5,1,2,0,0.1,0.32
2025-04-02 07:48:25,7,56,2,2,1,0.56,0.182
2025-04-02 07:53:25,7,92,2,0,1,0.92,0.074
2025-04-02 07:58:25,7,18,3,2,0,0.12,0.314
2025-04-02 08:03:25,8,7,3,2,1,0.05,0.336
2025-04-02 08:08:25,8,113,2,1,1,1.13,0.011
2025-04-02 08:13:25,8,103,3,2,1,0.69,0.144
2025-04-02 08:18:25,8,93,5,1,0,0.37,0.238
2025-04-02 08:23:25,8,61,1,2,1,1.22,-0.016
2025-04-02 08:28:25,8,94,4,0,0,0.47,0.209
2025-04-02 08:33:25,8,17,4,0,1,0.09,0.325
2025-04-02 08:38:25,8,14,3,0,0,0.09,0.322
2025-04-02 08:43:25,8,22,4,2,1,0.11,0.317
2025-04-02 08:48:25,8,38,1,2,1,0.76,0.122
2025-04-02 08:53:25,8,45,5,1,1,0.18,0.296
2025-04-02 08:58:25,8,30,2,2,1,0.3,0.26
2025-04-02 09:03:25,9,63,5,1,0,0.25,0.274
2025-04-02 09:08:25,9,37,5,1,0,0.15,0.306
2025-04-02 09:13:25,9,74,4,1,0,0.37,0.239
2025-04-02 09:18:25,9,66,1,2,0,1.32,-0.046
2025-04-02 09:23:25,9,119,5,2,1,0.48,0.207
2025-04-02 09:28:25,9,70,4,2,1,0.35,0.245
2025-04-02 09:33:25,9,83,1,1,1,1.66,-0.148
2025-04-02 09:38:25,9,106,3,1,0,0.71,0.138
2025-04-02 09:43:25,9,70,3,1,0,0.47,0.21
2025-04-02 09:48:25,9,49,4,0,1,0.24,0.276
2025-04-02 09:53:25,9,30,4,2,1,0.15,0.305
2025-04-02 09:58:25,9,101,4,0,1,0.51,0.199
2025-04-02 10:03:25,10,51,1,1,1,1.02,0.144
2025-04-02 10:08:25,10,68,5,1,0,0.27,0.368
2025-04-02 10:13:25,10,104,5,2,0,0.42,0.325
2025-04-02 10:18:25,10,37,2,1,0,0.37,0.339
2025-04-02 10:23:25,10,27,2,1,0,0.27,0.369
2025-04-02 10:28:25,10,44,2,0,0,0.44,0.318
2025-04-02 10:33:25,10,105,1,0,0,2.1,-0.18
2025-04-02 10:38:25,10,79,3,1,0,0.53,0.292
2025-04-02 10:43:25,10,53,5,1,1,0.21,0.386
2025-04-02 10:48:25,10,112,2,1,0,1.12,0.114
2025-04-02 10:53:25,10,79,1,1,1,1.58,-0.024
2025-04-02 10:58:25,10,103,3,0,1,0.69,0.244
2025-04-02 11:03:25,11,68,4,0,1,0.34,0.348
2025-04-02 11:08:25,11,15,1,0,1,0.3,0.36
2025-04-02 11:13:25,11,64,3,0,0,0.43,0.322
2025-04-02 11:18:25,11,9,3,2,1,0.06,0.432
2025-04-02 11:23:25,11,30,4,0,0,0.15,0.405
2025-04-02 11:28:25,11,46,1,1,1,0.92,0.174
2025-04-02 11:33:25,11,76,3,0,1,0.51,0.298
2025-04-02 11:38:25,11,101,1,0,0,2.02,-0.156
2025-04-02 11:43:25,11,101,2,1,0,1.01,0.147
2025-04-02 11:48:25,11,108,3,2,0,0.72,0.234
2025-04-02 11:53:25,11,74,3,2,0,0.49,0.302
2025-04-02 11:58:25,11,76,2,2,0,0.76,0.222
2025-04-02 12:03:25,12,33,1,1,0,0.66,0.252
2025-04-02 12:08:25,12,31,4,0,1,0.15,0.403
2025-04-02 12:13:25,12,61,1,0,0,1.22,0.084
2025-04-02 12:18:25,12,31,1,1,1,0.62,0.264
2025-04-02 12:23:25,12,90,2,1,0,0.9,0.18
2025-04-02 12:28:25,12,78,1,1,1,1.56,-0.018
2025-04-02 12:33:25,12,17,4,0,1,0.09,0.424
2025-04-02 12:38:25,12,56,5,0,0,0.22,0.383
2025-04-02 12:43:25,12,51,4,0,1,0.26,0.373
2025-04-02 12:48:25,12,31,3,2,1,0.21,0.388
2025-04-02 12:53:25,12,40,2,2,0,0.4,0.33
2025-04-02 12:58:25,12,73,4,2,1,0.36,0.341
2025-04-02 13:03:25,13,78,2,1,0,0.78,0.216
2025-04-02 13:08:25,13,16,2,0,1,0.16,0.402
2025-04-02 13:13:25,13,66,2,0,0,0.66,0.252
2025-04-02 13:18:25,13,115,4,2,1,0.57,0.277
2025-04-02 13:23:25,13,112,4,0,1,0.56,0.282
2025-04-02 13:28:25,13,41,2,0,1,0.41,0.327
2025-04-02 13:33:25,13,35,2,0,1,0.35,0.345
2025-04-02 13:38:25,13,55,5,1,1,0.22,0.384
2025-04-02 13:43:25,13,45,3,2,0,0.3,0.36
2025-04-02 13:48:25,13,50,5,0,1,0.2,0.39
2025-04-02 13:53:25,13,114,4,1,0,0.57,0.279
2025-04-02 13:58:25,13,61,1,2,1,1.22,0.084
2025-04-02 14:03:25,14,59,3,2,0,0.39,0.332
2025-04-02 14:08:25,14,51,1,0,0,1.02,0.144
2025-04-02 14:13:25,14,78,4,0,0,0.39,0.333
2025-04-02 14:18:25,14,30,1,2,0,0.6,0.27
2025-04-02 14:23:25,14,29,2,2,1,0.29,0.363
2025-04-02 14:28:25,14,6,2,2,1,0.06,0.432
2025-04-02 14:33:25,14,95,1,2,0,1.9,-0.12
2025-04-02 14:38:25,14,112,3,2,1,0.75,0.226
2025-04-02 14:43:25,14,28,1,2,1,0.56,0.282
2025-04-02 14:48:25,14,74,5,0,0,0.3,0.361
2025-04-02 14:53:25,14,33,3,1,1,0.22,0.384
2025-04-02 14:58:25,14,32,2,0,0,0.32,0.354
2025-04-02 15:03:25,15,75,1,0,0,1.5,0.0
2025-04-02 15:08:25,15,24,4,2,0,0.12,0.414
2025-04-02 15:13:25,15,108,1,2,0,2.16,-0.198
2025-04-02 15:18:25,15,100,5,1,0,0.4,0.33
2025-04-02 15:23:25,15,55,3,2,1,0.37,0.34
2025-04-02 15:28:25,15,36,5,0,0,0.14,0.407
2025-04-02 15:33:25,15,97,3,1,0,0.65,0.256
2025-04-02 15:38:25,15,82,3,2,1,0.55,0.286
2025-04-02 15:43:25,15,70,4,0,1,0.35,0.345
2025-04-02 15:48:25,15,98,3,2,1,0.65,0.254
2025-04-02 15:53:25,15,5,5,2,0,0.02,0.444
2025-04-02 15:58:25,15,7,2,1,0,0.07,0.429
2025-04-02 16:03:25,16,114,2,0,0,1.14,0.008
2025-04-02 16:08:25,16,59,4,1,0,0.29,0.262
2025-04-02 16:13:25,16,97,1,0,0,1.94,-0.232
2025-04-02 16:18:25,16,71,3,2,0,0.47,0.208
2025-04-02 16:23:25,16,76,1,2,0,1.52,-0.106
2025-04-02 16:28:25,16,71,3,0,1,0.47,0.208
2025-04-02 16:33:25,16,115,2,2,1,1.15,0.005
2025-04-02 16:38:25,16,92,3,0,1,0.61,0.166
2025-04-02 16:43:25,16,89,2,2,1,0.89,0.083
2025-04-02 16:48:25,16,11,1,2,0,0.22,0.284
2025-04-02 16:53:25,16,23,5,2,1,0.09,0.322
2025-04-02 16:58:25,16,33,4,1,1,0.17,0.3
2025-04-02 17:03:25,17,5,5,2,1,0.02,0.344
2025-04-02 17:08:25,17,6,3,2,0,0.04,0.338
2025-04-02 17:13:25,17,16,4,0,0,0.08,0.326
2025-04-02 17:18:25,17,42,1,1,0,0.84,0.098
2025-04-02 17:23:25,17,48,3,1,1,0.32,0.254
2025-04-02 17:28:25,17,112,1,1,1,2.24,-0.322
2025-04-02 17:33:25,17,63,1,1,0,1.26,-0.028
2025-04-02 17:38:25,17,85,1,1,0,1.7,-0.16
2025-04-02 17:43:25,17,29,1,1,1,0.58,0.176
2025-04-02 17:48:25,17,111,4,1,1,0.56,0.183
2025-04-02 17:53:25,17,33,5,1,0,0.13,0.31
2025-04-02 17:58:25,17,41,3,1,1,0.27,0.268
2025-04-02 18:03:25,18,89,2,0,1,0.89,0.083
2025-04-02 18:08:25,18,38,1,0,0,0.76,0.122
2025-04-02 18:13:25,18,106,2,2,0,1.06,0.032
2025-04-02 18:18:25,18,110,5,2,0,0.44,0.218
2025-04-02 18:23:25,18,35,3,1,1,0.23,0.28
2025-04-02 18:28:25,18,113,1,0,0,2.26,-0.328
2025-04-02 18:33:25,18,14,5,0,1,0.06,0.333
2025-04-02 18:38:25,18,89,4,1,1,0.45,0.216
2025-04-02 18:43:25,18,50,2,1,0,0.5,0.2
2025-04-02 18:48:25,18,69,3,0,1,0.46,0.212
2025-04-02 18:53:25,18,119,2,0,0,1.19,-0.007
2025-04-02 18:58:25,18,15,3,0,0,0.1,0.32
2025-04-02 19:03:25,19,43,3,1,1,0.29,0.264
2025-04-02 19:08:25,19,59,5,0,1,0.24,0.279
2025-04-02 19:13:25,19,40,4,2,0,0.2,0.29
2025-04-02 19:18:25,19,111,1,1,0,2.22,-0.316
2025-04-02 19:23:25,19,113,3,1,0,0.75,0.124
2025-04-02 19:28:25,19,30,2,0,0,0.3,0.26
2025-04-02 19:33:25,19,77,1,0,0,1.54,-0.112
2025-04-02 19:38:25,19,65,3,1,0,0.43,0.22
2025-04-02 19:43:25,19,43,3,2,1,0.29,0.264
2025-04-02 19:48:25,19,105,4,2,1,0.53,0.193
2025-04-02 19:53:25,19,106,2,2,0,1.06,0.032
2025-04-02 19:58:25,19,48,3,2,0,0.32,0.254
2025-04-02 20:03:25,20,65,1,1,0,1.3,-0.04
2025-04-02 20:08:25,20,59,1,2,1,1.18,-0.004
2025-04-02 20:13:25,20,66,3,2,0,0.44,0.218
2025-04-02 20:18:25,20,85,5,1,1,0.34,0.248
2025-04-02 20:23:25,20,74,1,1,0,1.48,-0.094
2025-04-02 20:28:25,20,16,3,1,0,0.11,0.318
2025-04-02 20:33:25,20,113,2,2,1,1.13,0.011
2025-04-02 20:38:25,20,14,1,2,1,0.28,0.266
2025-04-02 20:43:25,20,89,2,2,1,0.89,0.083
2025-04-02 20:48:25,20,83,5,2,0,0.33,0.25
2025-04-02 20:53:25,20,119,2,2,0,1.19,-0.007
2025-04-02 20:58:25,20,97,2,2,1,0.97,0.059
2025-04-02 21:03:25,21,43,3,1,0,0.29,0.264
2025-04-02 21:08:25,21,110,1,1,0,2.2,-0.31
2025-04-02 21:13:25,21,28,3,0,1,0.19,0.294
2025-04-02 21:18:25,21,7,5,2,1,0.03,0.342
2025-04-02 21:23:25,21,94,4,2,0,0.47,0.209
2025-04-02 21:28:25,21,117,4,0,1,0.58,0.174
2025-04-02 21:33:25,21,29,5,1,0,0.12,0.315
2025-04-02 21:38:25,21,20,5,1,1,0.08,0.326
2025-04-02 21:43:25,21,70,3,1,1,0.47,0.21
2025-04-02 21:48:25,21,34,3,2,0,0.23,0.282
2025-04-02 21:53:25,21,17,2,2,0,0.17,0.299
2025-04-02 21:58:25,21,43,4,0,1,0.21,0.285
2025-04-02 22:03:25,22,117,5,1,0,0.47,0.21
2025-04-02 22:08:25,22,112,1,2,0,2.24,-0.322
2025-04-02 22:13:25,22,14,1,2,0,0.28,0.266
2025-04-02 22:18:25,22,88,5,0,1,0.35,0.244
2025-04-02 22:23:25,22,53,3,0,1,0.35,0.244
2025-04-02 22:28:25,22,34,2,1,1,0.34,0.248
2025-04-02 22:33:25,22,41,1,0,0,0.82,0.104
2025-04-02 22:38:25,22,114,1,2,0,2.28,-0.334
2025-04-02 22:43:25,22,92,4,2,1,0.46,0.212
2025-04-02 22:48:25,22,41,5,0,0,0.16,0.301
2025-04-02 22:53:25,22,74,3,1,0,0.49,0.202
2025-04-02 22:58:25,22,102,1,2,1,2.04,-0.262
2025-04-02 23:03:25,23,8,3,0,0,0.05,0.334
2025-04-02 23:08:25,23,58,5,2,0,0.23,0.28
2025-04-02 23:13:25,23,114,2,2,1,1.14,0.008
2025-04-02 23:18:25,23,61,2,0,0,0.61,0.167
2025-04-02 23:23:25,23,7,5,0,1,0.03,0.342
2025-04-02 23:28:25,23,51,1,0,0,1.02,0.044
2025-04-02 23:33:25,23,24,2,0,0,0.24,0.278
2025-04-02 23:38:25,23,110,3,1,1,0.73,0.13
2025-04-02 23:43:25,23,66,1,2,1,1.32,-0.046
2025-04-02 23:48:25,23,103,5,0,0,0.41,0.226
2025-04-02 23:53:25,23,93,1,1,0,1.86,-0.208
2025-04-02 23:58:25,23,102,3,0,1,0.68,0.146
2025-04-03 00:03:25,0,71,3,0,0,0.47,0.208
2025-04-03 00:08:25,0,71,1,1,1,1.42,-0.076
2025-04-03 00:13:25,0,46,1,2,1,0.92,0.074
2025-04-03 00:18:25,0,29,5,2,0,0.12,0.315
2025-04-03 00:23:25,0,102,4,2,1,0.51,0.197
2025-04-03 00:28:25,0,76,3,0,1,0.51,0.198
